Id,Class
1,4
2,6
3,6
4,6
5,1
6,6
7,2
8,2
9,6
10,1
11,6
12,4
13,5
14,6
15,1
16,2
17,6
18,6
19,4
20,1
21,6
22,5
23,4
24,6
25,3
26,1
27,5
28,2
29,6
30,5
31,4
32,6
33,6
34,6
35,4
36,1
37,5
38,6
39,6
40,1
41,6
42,5
43,1
44,3
45,1
46,6
47,4
48,2
49,6
50,1
51,5
52,4
53,2
54,5
55,4
56,1
57,2
58,6
59,6
60,6
61,5
62,5
63,1
64,4
65,5
66,6
67,2
68,2
69,3
70,4
71,5
72,4
73,6
74,2
75,1
76,6
77,6
78,5
79,1
80,6
81,4
82,4
83,6
84,6
85,6
86,1
87,5
88,1
89,4
90,6
91,4
92,1
93,1
94,1
95,5
96,5
97,1
98,6
99,2
100,4
101,2
102,4
103,1
104,2
105,4
106,5
107,6
108,5
109,4
110,1
111,1
112,5
113,5
114,2
115,4
116,1
117,1
118,1
119,4
120,6
121,6
122,1
123,2
124,1
125,1
126,2
127,1
128,6
129,2
130,4
131,2
132,4
133,4
134,1
135,1
136,4
137,1
138,3
139,6
140,1
141,5
142,1
143,6
144,6
145,6
146,1
147,1
148,2
149,6
150,5
151,6
152,6
153,5
154,3
155,4
156,6
157,2
158,3
159,5
160,6
161,4
162,6
163,5
164,6
165,4
166,4
167,4
168,1
169,2
170,1
171,3
172,6
173,1
174,4
175,3
176,6
177,4
178,2
179,4
180,2
181,6
182,2
183,6
184,6
185,4
186,5
187,4
188,6
189,6
190,3
191,2
192,1
193,2
194,6
195,2
196,6
197,1
198,6
199,5
200,4
201,5
202,5
203,4
204,5
205,5
206,4
207,1
208,2
209,1
210,1
211,4
212,6
213,2
214,5
215,3
216,1
217,6
218,6
219,5
220,2
221,6
222,1
223,5
224,6
225,4
226,4
227,6
228,1
229,6
230,6
231,1
232,2
233,6
234,6
235,4
236,1
237,1
238,3
239,3
240,1
241,6
242,5
243,4
244,1
245,6
246,6
247,6
248,6
249,6
250,5
251,2
