Id,Class
1,4
2,6
3,1
4,6
5,4
6,6
7,4
8,4
9,6
10,4
11,6
12,3
13,2
14,6
15,4
16,3
17,6
18,6
19,4
20,1
21,6
22,5
23,4
24,4
25,3
26,4
27,4
28,2
29,6
30,4
31,6
32,4
33,6
34,4
35,4
36,2
37,4
38,6
39,6
40,4
41,6
42,5
43,2
44,2
45,5
46,6
47,4
48,4
49,4
50,1
51,5
52,3
53,4
54,3
55,4
56,5
57,2
58,6
59,6
60,6
61,4
62,5
63,4
64,3
65,4
66,6
67,3
68,4
69,3
70,4
71,5
72,4
73,6
74,4
75,5
76,6
77,6
78,4
79,4
80,6
81,4
82,4
83,6
84,5
85,6
86,4
87,5
88,4
89,6
90,6
91,1
92,2
93,4
94,4
95,4
96,4
97,2
98,6
99,6
100,4
101,2
102,3
103,4
104,2
105,4
106,4
107,6
108,6
109,4
110,4
111,1
112,4
113,4
114,4
115,3
116,1
117,1
118,4
119,4
120,4
121,6
122,6
123,2
124,4
125,6
126,2
127,4
128,6
129,2
130,4
131,4
132,4
133,3
134,1
135,2
136,4
137,3
138,3
139,6
140,2
141,1
142,2
143,6
144,6
145,2
146,2
147,4
148,4
149,4
150,5
151,4
152,6
153,4
154,3
155,1
156,6
157,2
158,2
159,4
160,6
161,4
162,4
163,2
164,3
165,4
166,4
167,1
168,3
169,3
170,4
171,3
172,4
173,5
174,3
175,3
176,6
177,5
178,1
179,4
180,1
181,6
182,2
183,6
184,6
185,4
186,4
187,4
188,1
189,6
190,3
191,2
192,3
193,2
194,6
195,1
196,6
197,3
198,6
199,4
200,3
201,3
202,4
203,6
204,4
205,5
206,1
207,6
208,5
209,5
210,3
211,1
212,1
213,4
214,5
215,3
216,1
217,6
218,6
219,5
220,2
221,6
222,4
223,4
224,6
225,4
226,4
227,6
228,4
229,4
230,6
231,2
232,2
233,6
234,6
235,4
236,1
237,4
238,3
239,3
240,4
241,6
242,4
243,4
244,4
245,4
246,3
247,6
248,6
249,6
250,5
251,2
